pair_class	trait1	trait2	depression_cohort	ibd_cohort	ibd_subtype	overlap_class	primary_extension	n_valid_snps	trait1_h2_pair	trait1_h2_se_pair	trait1_intercept_pair	trait1_intercept_se_pair	trait2_h2_pair	trait2_h2_se_pair	trait2_intercept_pair	trait2_intercept_se_pair	gcov	gcov_se	gcov_z	gcov_intercept	gcov_intercept_se	gcov_intercept_z	rg	se	z	p	gcov_intercept_flag	both_pair_h2_z4	fdr_all_cross_disease	fdr_primary_extension	fdr_within_pair_class
cross_disease	UKB_GPpsy	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1	1116341	0.0449	0.0026	1.0562	0.0094	0.143	0.0222	1.1471	0.0153	0.0086	0.0033	2.606060606060606	-0.0025	0.0054	-0.46296296296296297	0.1068	0.0426	2.507042253521127	0.0121	0	1	0.025623529411764705	0.0242	0.025623529411764705
cross_disease	UKB_GPpsy	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1	1130931	0.0451	0.0026	1.0577	0.0095	0.0167	0.0024	1.1614	0.0203	0.0034	0.001	3.4	-0.0127	0.0056	-2.267857142857143	0.1246	0.0367	3.395095367847411	0.0007	1	1	0.00252	0.0024	0.00252
cross_disease	UKB_GPpsy	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1	1130931	0.0451	0.0026	1.0578	0.0095	0.0049	0.0012	1.0518	0.0089	0.0016	0.0009	1.777777777777778	-6.736e-05	0.005	-0.013472000000000001	0.1108	0.058	1.9103448275862067	0.0561	0	1	0.07767692307692307	0.0748	0.07767692307692307
cross_disease	UKB_GPpsy	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1	1130933	0.0451	0.0026	1.0577	0.0095	0.0126	0.0019	1.1212	0.0175	0.0024	0.001	2.4	-0.0117	0.0056	-2.0892857142857144	0.0993	0.0436	2.2775229357798166	0.0227	1	1	0.037145454545454544	0.036320000000000005	0.037145454545454544
cross_disease	UKB_ICD10Dep	IBD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	IBD	shared_UK_sampling_cannot_be_excluded	1	1113860	0.0149	0.0019	0.9942	0.006	0.2112	0.0262	1.1938	0.0166	0.0094	0.0034	2.7647058823529416	-0.0059	0.0049	-1.2040816326530612	0.1674	0.0609	2.748768472906404	0.006	0	1	0.0144	0.014400000000000001	0.0144
cross_disease	UKB_ICD10Dep	CD_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	CD	shared_UK_sampling_cannot_be_excluded	1	1116344	0.0149	0.0019	0.9942	0.006	0.3007	0.0423	1.1559	0.0198	0.0135	0.0039	3.4615384615384617	-0.0083	0.0051	-1.6274509803921569	0.2022	0.0585	3.456410256410256	0.0005	0	1	0.00252	0.0024	0.00252
cross_disease	UKB_ICD10Dep	UC_deLange2017	UK_Biobank_Cai2020	IIBDGC_deLange2017	UC	shared_UK_sampling_cannot_be_excluded	1	1116341	0.0149	0.0019	0.994	0.006	0.143	0.0222	1.1471	0.0153	0.004	0.0035	1.1428571428571428	-2.6649e-05	0.0046	-0.005793260869565217	0.0869	0.0766	1.1344647519582245	0.2568	0	1	0.27190588235294116	0.26796521739130436	0.27190588235294116
cross_disease	UKB_ICD10Dep	IBD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	IBD	no_known_overlap	1	1130931	0.015	0.002	0.994	0.0063	0.0167	0.0024	1.1614	0.0203	0.0022	0.0011	2.0	-5.1885e-05	0.0049	-0.010588775510204082	0.1408	0.0673	2.0921248142644875	0.0363	0	1	0.05681739130434783	0.05445	0.05681739130434783
cross_disease	UKB_ICD10Dep	CD_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	CD	no_known_overlap	1	1130931	0.015	0.002	0.994	0.0063	0.0049	0.0012	1.0518	0.0089	0.0004	0.0009	0.4444444444444445	0.0045	0.0047	0.9574468085106382	0.0451	0.11	0.41000000000000003	0.6817	0	1	0.7011771428571428	0.6816999999999999	0.7011771428571428
cross_disease	UKB_ICD10Dep	UC_FinnGen_R12	UK_Biobank_Cai2020	FinnGen_R12	UC	no_known_overlap	1	1130933	0.015	0.002	0.994	0.0063	0.0126	0.0019	1.1212	0.0175	0.0015	0.0009	1.6666666666666667	0.0017	0.0044	0.3863636363636363	0.1072	0.067	1.5999999999999999	0.1099	0	1	0.13464	0.13188	0.13464
