locus	gene_id	gene_symbol	gene_type	gene_start37	gene_end37	min_distance_bp	n_support_variants	overlaps_any_variant	FinnGen_DEP	FinnGen_IBD	Howard_DEP	deLange_IBD	FinnGen_DEP_strict	FinnGen_IBD_strict	Howard_DEP_strict	deLange_IBD_strict	Howard_DEP_H4_ge_0.8	FinnGen_DEP_H4_ge_0.8	deLange_IBD_H4_ge_0.8	FinnGen_IBD_H4_ge_0.8	depression_both_cohorts_qtl	ibd_both_cohorts_qtl	shared_four_gwas_qtl	evidence_class	shared_mechanism_interpretation
block1671	ENSG00000207601	MIR611	miRNA	61559967	61560033	48	40	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000222326	MIR1908	miRNA	61582633	61582712	2432	39	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000221968	FADS3	protein_coding	61640991	61659523	16810	39	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000124915	RP11-467L20.10	lincRNA	61513965	61525127	18372	40	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000167994	RAB3IL1	protein_coding	61664773	61687741	40592	27	False	0.0267656140156178		0.0003736039764867		0.0027426287293232		3.73729640678602e-05		False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000255947	RP11-855O10.3	lincRNA	61422137	61423174	48504	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000243742	RPLP0P2	pseudogene	61382508	61406921	64757	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000200898	RNU6-1243P	snRNA	61705366	61705472	81185	10	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000167995	BEST1	protein_coding	61717293	61732987	93112	6	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block1671	ENSG00000250230	RP11-855O10.2	lincRNA	61355966	61375022	96656	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000145020	AMT	protein_coding	49454211	49460186	0	48	True		0.0001867182445301		0.0002008855528845		1.86749627136447e-05		2.00921878957005e-05	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000164062	APEH	protein_coding	49711435	49721396	0	35	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000164061	BSN	protein_coding	49591922	49708978	0	63	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000235120	BSN-AS1	antisense	49677916	49679202	0	40	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000226913	BSN-AS2	lincRNA	49586739	49591799	0	48	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000173402	DAG1	protein_coding	49506146	49573048	0	63	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000233276	GPX1	protein_coding	49394609	49396033	0	31	True		0.0016600471500561		0.0016529391218334		0.0001662531041982		0.000165540177235	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000176095	IP6K1	protein_coding	49761727	49823975	0	33	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000047849	MAP4	protein_coding	47892182	48130769	0	3	True	0.0112449736341353	0.0016693843812528	0.0021716925165183	8.40674990104811e-05	0.0011359941654082	0.0001671896315088	0.0002175945452528	8.4073860101717e-06	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000173531	MST1	protein_coding	49721380	49726934	0	34	True		0.986190654400395		0.985785877754552		0.877172100255517		0.873980133620302	False	False	True	True	False	True	False	Tier1_IBD_component	not supported across both depression and both IBD cohorts
block464	ENSG00000145029	NICN1	protein_coding	49460379	49466759	0	49	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000067560	RHOA	protein_coding	49396578	49450431	0	45	True		0.0069027633059063		0.0069101317399578		0.0006945914710577		0.0006953375607293	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000164068	RNF123	protein_coding	49726932	49758962	0	35	True		0.182776070959688		0.181888482423296		0.0218762100432419		0.0217491812579995	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000173473	SMARCC1	protein_coding	47626762	47823596	0	1	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000145022	TCTA	protein_coding	49449639	49453908	0	45	True		1.49850178869281e-06		1.49763983331945e-06		1.49850380965237e-07		1.49764185195472e-07	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000183763	TRAIP	protein_coding	49866034	49894007	0	9	True									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000259970	AC099668.5	processed_transcript	49721913	49722416	115	33	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000235908	RHOA-IT1	sense_intronic	49402578	49404439	725	31	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000173540	GMPPB	protein_coding	49754277	49761384	1278	28	False		0.0019430472557718		0.0019381496806176		0.0001946451097589		0.0001941536369903	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000176020	AMIGO3	protein_coding	49754267	49761349	1313	28	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000235261	NICN1-AS1	antisense	49460379	49461864	1423	48	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000263651	AC139451.1	miRNA	49856387	49856486	1656	10	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000182179	UBA7	protein_coding	49842640	49851379	1694	12	False		0.0193204794616517		0.0198486566546816		0.0019662377363874		0.0020209678120587	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000187492	CDHR4	protein_coding	49828165	49837268	2795	16	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000266457	AC026318.1	miRNA	47810601	47810701	4067	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000239576	RP13-480C15.1	pseudogene	49795916	49796089	6102	24	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000224895	VPS26BP1	pseudogene	48001817	48002571	6700	2	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000201301	RNA5SP130	rRNA	49504548	49504661	7927	50	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000263506	MIR5193	miRNA	49843570	49843678	9395	12	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000185614	FAM212A	protein_coding	49840687	49842463	10610	12	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000114316	USP4	protein_coding	49315264	49378145	11697	29	False		0.0130226252951155		0.012427985569394		0.0013177065280387		0.0012568567345633	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000244730	RP13-1056D16.2	pseudogene	49812718	49813047	12323	19	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000164076	CAMKV	protein_coding	49895421	49907655	25790	8	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000264706	RN7SL217P	misc_RNA	49900819	49901093	31188	8	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000199591	Y_RNA	misc_RNA	47973298	47973404	35867	2	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000132153	DHX30	protein_coding	47844399	47891685	37865	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000234667	ACTBP13	pseudogene	49910780	49915413	41149	8	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000270285	RP11-1029M24.4	pseudogene	48080757	48080980	46706	2	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000164078	MST1R	protein_coding	49924435	49941299	54804	8	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000230698	CTD-2330K9.2	antisense	49936735	49941190	67104	7	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000228008	CTD-2330K9.3	protein_coding	49941278	49954370	71647	7	False		0.0038837986273382		0.0040296476170755		0.0003897421748451		0.0004044315065184	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000188315	C3orf62	protein_coding	49306035	49315342	74500	11	False		0.0011861449340716		0.0011764189875992		0.0001187412533096		0.0001177665873244	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000164077	MON1A	protein_coding	49946302	49967606	76671	7	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000264633	MIR4271	miRNA	49311553	49311619	78223	9	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000199546	Y_RNA	misc_RNA	49307565	49307672	82170	8	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000221585	MIR1226	miRNA	47891045	47891119	84511	1	False									False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000225399	RP11-3B7.1	protein_coding	49297518	49298744	91098	6	False		4.54984256343697e-05		4.53724677304654e-05		4.55002888067255e-06		4.5374320600873e-06	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
block464	ENSG00000173421	CCDC36	protein_coding	49235861	49295537	94305	4	False		3.26378610747144e-10		3.23724425973473e-10		3.26378610843012e-11		3.2372442606779096e-11	False	False	False	False	False	False	False	Tier3_positional_only	not supported across both depression and both IBD cohorts
