pair_id	locus	chr	start	stop	rho	rho_lower	rho_upper	se_approx_from_95ci	mde_abs_rho_80pct_nominal_alpha_0_05	mde_abs_rho_80pct_bonferroni_family	bonferroni_family_alpha	n_eligible_tests
FinnGenDEP__deLangeIBD	1138	7	41415926	42494806	0.204155	-0.15032	0.58998	0.18885204081632653	0.5290850859614873	0.8210958056961084	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1166	7	73128831	75243899	-0.287951	-0.4964	-0.08535	0.10485969387755104	0.29377336834319784	0.45591169921840524	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1273	8	27406512	28344176	-0.118548	-0.50063	0.25397	0.19249999999999998	0.5393051544867462	0.8369564973365977	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1365	8	140355989	141527881	0.266651	-0.10554	0.68735	0.20226785714285714	0.566670638670814	0.8794254401977406	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1381	9	8262304	9170120	0.0467546	-0.30583	0.41231	0.18319897959183673	0.5132475531978691	0.7965172793497275	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1427	9	81161598	82601465	-0.222463	-0.6198	0.14297	0.1945841836734694	0.5451441726581706	0.8460181652179126	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1657	11	45019560	46316005	-0.143485	-0.43188	0.13316	0.14414285714285716	0.40382849786799785	0.62670805626169	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1703	11	96150135	97091671	0.412964	0.1082	0.76203	0.16679336734693878	0.4672858324384699	0.7251885325385473	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1794	12	56987106	58748139	0.159103	-0.18314	0.51953	0.17925255102040816	0.5021912972478161	0.7793588947568344	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1855	12	127545378	128372588	0.714032	0.38545	1.0	0.15677295918367345	0.4392128050488072	0.6816215417946013	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1872	13	27392006	28587125	0.364478	0.05929	0.72117	0.1688469387755102	0.4730390877970947	0.734117103706795	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1876	13	32986687	34722391	0.368971	0.00751	0.80038	0.2022627551020408	0.5666563448686808	0.8794032574122295	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	1895	13	53336572	54684856	0.0553555	-0.28943	0.41077	0.17862244897959184	0.5004260126843623	0.7766193207462044	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2030	14	104439107	105091340	0.242535	-0.08881	0.59998	0.17571173469387755	0.49227139856735486	0.7639640416120795	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2031	14	105091341	106347143	-0.167451	-0.49524	0.15426	0.16568877551020408	0.4641912242766257	0.7203859594753781	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2117	16	12793150	13893407	0.000100094	-0.34672	0.34115	0.17547704081632653	0.49161388366922637	0.7629436334785655	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2123	16	22667049	24014705	0.169883	-0.10218	0.45551	0.14226785714285714	0.398575525584036	0.6185558825863335	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2128	16	29043178	31384210	-0.0458074	-0.39071	0.2998	0.17615051020408162	0.49350066555081257	0.7658717611660405	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2132	16	49010762	50467033	0.283144	0.04443	0.53028	0.12394132653061225	0.3472321883214759	0.5388753170301963	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2133	16	50467034	52041336	-0.0351762	-0.21018	0.1386	0.08897448979591836	0.24926961540138798	0.3868455965293647	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2134	16	52041337	53393882	0.278927	-0.07539	0.66967	0.19006632653061223	0.5324870108691958	0.8263753086477678	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2199	17	32356062	33614189	-0.0435725	-0.31764	0.22705	0.1389515306122449	0.3892845541974369	0.6041370720040704	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2216	17	54950108	56245227	-0.0567315	-0.3586	0.25029	0.15532908163265305	0.4351676590451033	0.6753438134949391	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2227	17	70495120	71466953	-0.126748	-0.43506	0.17362	0.15527551020408165	0.4350175741227045	0.6751108942470718	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2277	18	48228380	49790996	0.0885623	-0.20273	0.39169	0.1516377551020408	0.4248260932017118	0.6592945681776047	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2278	18	49790997	50372823	-0.153416	-0.49843	0.17248	0.17115051020408165	0.47949273946024784	0.74413263136509	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2303	18	75240761	76231685	0.414924	0.12351	0.74538	0.158640306122449	0.4444443366295693	0.6897404412916912	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2338	19	31763009	33028099	0.147088	-0.1716	0.48652	0.16788775510204082	0.4703518529960476	0.7299467400306942	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2352	19	45893308	46765060	0.322275	-0.03057	0.71122	0.18923214285714285	0.5301499742204129	0.8227484232166908	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2353	19	46765061	47752727	-0.105929	-0.40472	0.18452	0.15031632653061225	0.4211239984492054	0.6535492267302107	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2356	19	49415190	50451925	-0.261312	-0.4901	-0.03428	0.11628061224489797	0.32577004441843194	0.5055678645851684	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2375	20	5379451	6128358	0.38244	0.09028	0.72537	0.1620127551020408	0.45389253983963385	0.7044032625145771	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2448	21	33270273	34383794	-0.295916	-0.68358	0.05519	0.18846173469387753	0.5279916100982952	0.8193988226045035	0.00045454545454545455	110
FinnGenDEP__deLangeIBD	2449	21	34383795	35729261	0.354611	0.03671	0.70508	0.17050255102040818	0.47767742658932766	0.741315417605171	0.00045454545454545455	110
