phen	h2.obs	h2.latent	ascertained	p	locus	chr	start	stop	pair_id	univ_threshold
MDD_Howard2019	0.000259251	0.00043283	FALSE	3.00538e-07	19	1	17557747	18427820	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	3.20717e-05	0.000251273	FALSE	0.235295	19	1	17557747	18427820	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.00031924	0.000532984	FALSE	9.99506e-09	20	1	18427821	19238924	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000215976	0.00169211	FALSE	3.64899e-05	20	1	18427821	19238924	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	6.68124e-05	0.000111546	FALSE	0.0847136	21	1	19238925	20556202	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00119427	0.00935679	FALSE	2.45288e-62	21	1	19238925	20556202	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000187997	0.000313868	FALSE	7.73513e-06	22	1	20556203	21416121	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000270768	0.00212139	FALSE	1.75105e-09	22	1	20556203	21416121	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000152309	0.000254287	FALSE	0.000294281	23	1	21416122	22145629	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000158594	0.00124254	FALSE	0.000182463	23	1	21416122	22145629	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000482275	0.00377849	FALSE	7.83894e-20	24	1	22145630	22740287	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000213747	0.000356859	FALSE	7.69103e-06	25	1	22740288	23907045	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00019787	0.00155025	FALSE	2.6978e-05	25	1	22740288	23907045	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000112709	0.000188173	FALSE	0.0162243	26	1	23907046	25885138	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000353909	0.00277278	FALSE	7.42458e-10	26	1	23907046	25885138	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.00020961	0.000349952	FALSE	2.25784e-05	27	1	25885139	27992665	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00020041	0.00157016	FALSE	4.43487e-05	27	1	25885139	27992665	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	9.45333e-05	0.000157827	FALSE	0.00831803	28	1	27992666	29188426	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	7.96722e-05	0.00062421	FALSE	0.0202556	28	1	27992666	29188426	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000112803	0.000188329	FALSE	0.00933557	29	1	29188427	30405182	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00017926	0.00140445	FALSE	0.00016214	29	1	29188427	30405182	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000143738	0.000239977	FALSE	0.00245027	30	1	30405183	31639217	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000244647	0.00191674	FALSE	2.59228e-06	30	1	30405183	31639217	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	4.39916e-05	7.34457e-05	FALSE	0.144822	31	1	31639218	33066846	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	7.4903e-05	0.000586844	FALSE	0.0406075	31	1	31639218	33066846	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000219595	0.000366623	FALSE	6.57218e-06	32	1	33066847	34371022	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.47888e-05	0.000664297	FALSE	0.0339463	32	1	33066847	34371022	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000214702	0.000358453	FALSE	1.12654e-05	33	1	34371023	35201626	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.92338e-05	0.000229038	FALSE	0.25339	33	1	34371023	35201626	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000154516	0.000257971	FALSE	0.000360928	34	1	35201627	36855139	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.0125e-05	0.000157674	FALSE	0.305339	34	1	35201627	36855139	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000421686	0.000704021	FALSE	3.84183e-13	35	1	36855140	38474036	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.70758e-05	0.000525521	FALSE	0.0893096	35	1	36855140	38474036	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000300033	0.000500917	FALSE	4.95384e-08	36	1	38474037	40200950	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.34159e-05	0.00065354	FALSE	0.0497038	36	1	38474037	40200950	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000146255	0.000244179	FALSE	0.000367369	37	1	40200951	41093875	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.69246e-06	6.81031e-05	FALSE	0.399647	37	1	40200951	41093875	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000205635	0.000343315	FALSE	9.17711e-06	38	1	41093876	41977966	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	9.73073e-05	0.000762376	FALSE	0.0148283	38	1	41093876	41977966	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000106838	0.000178371	FALSE	0.00867506	39	1	41977967	43512669	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000103806	0.000813292	FALSE	0.0102378	39	1	41977967	43512669	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000224719	0.000375177	FALSE	6.89427e-06	40	1	43512670	45167235	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000111913	0.000186843	FALSE	0.00574874	41	1	45167236	47257261	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.11837e-05	0.000479358	FALSE	0.0744538	41	1	45167236	47257261	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	8.48059e-05	0.000141587	FALSE	0.0161137	42	1	47257262	48105233	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	1.27538e-05	2.1293e-05	FALSE	0.370966	43	1	48105234	49185414	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	5.7633e-05	0.000451539	FALSE	0.0906988	43	1	48105234	49185414	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000103668	0.000173077	FALSE	0.00551139	44	1	49185415	51777577	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.61464e-05	0.000518239	FALSE	0.0462523	44	1	49185415	51777577	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.00011027	0.000184101	FALSE	0.0016034	45	1	51777578	53114186	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000193298	0.000322719	FALSE	0.000161663	46	1	53114187	54771293	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	3.50848e-05	0.00027488	FALSE	0.234039	46	1	53114187	54771293	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000173177	0.000289125	FALSE	0.000359196	47	1	54771294	55727134	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000114577	0.000897682	FALSE	0.0103476	47	1	54771294	55727134	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	3.99802e-05	6.67485e-05	FALSE	0.158859	48	1	55727135	56799636	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000115338	0.000903639	FALSE	0.00374576	48	1	55727135	56799636	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000112577	0.000187953	FALSE	0.00627045	49	1	56799637	57529670	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000107995	0.000846108	FALSE	0.00811802	49	1	56799637	57529670	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000256756	0.000428664	FALSE	5.28767e-08	50	1	57529671	58387483	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.72141e-05	0.000526604	FALSE	0.0567371	50	1	57529671	58387483	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000120372	0.000200965	FALSE	0.0078969	51	1	58387484	59889045	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000263421	0.00206383	FALSE	4.49043e-07	51	1	58387484	59889045	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00024006	0.00188081	FALSE	1.38615e-06	52	1	59889046	61377615	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000192734	0.000321777	FALSE	0.000205078	53	1	61377616	62778733	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000301069	0.00235879	FALSE	6.69371e-08	53	1	61377616	62778733	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	5.6328e-05	9.40418e-05	FALSE	0.118036	54	1	62778734	64344226	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.0308e-05	0.000472497	FALSE	0.103073	54	1	62778734	64344226	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	1.99442e-05	3.32977e-05	FALSE	0.326536	55	1	64344227	65894184	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000278007	0.0021781	FALSE	1.06969e-07	55	1	64344227	65894184	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	9.9458e-05	0.000166049	FALSE	0.00368317	56	1	65894185	66778015	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000241903	0.00189524	FALSE	3.60901e-09	56	1	65894185	66778015	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000165264	0.000275916	FALSE	4.74938e-05	57	1	66778016	67761890	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00125349	0.00982071	FALSE	4.04682e-81	57	1	66778016	67761890	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000230668	0.000385109	FALSE	7.77195e-07	58	1	67761891	68633860	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000701937	0.00549948	FALSE	3.20503e-33	58	1	67761891	68633860	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000193382	0.000322859	FALSE	3.31403e-06	59	1	68633861	69438909	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000228643	0.00179135	FALSE	9.83975e-08	59	1	68633861	69438909	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000181371	0.000302806	FALSE	0.000111531	60	1	69438910	70992905	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000312613	0.00244924	FALSE	1.27599e-09	60	1	69438910	70992905	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000140983	0.000235378	FALSE	0.000598099	61	1	70992906	72513119	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000149544	0.00117163	FALSE	0.000317238	61	1	70992906	72513119	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000273557	0.000456715	FALSE	1.40664e-11	62	1	72513120	73992170	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000375126	0.000626287	FALSE	1.05694e-14	63	1	73992171	75132092	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000105831	0.000829154	FALSE	0.0053066	63	1	73992171	75132092	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	9.03401e-05	0.000150826	FALSE	0.00741236	64	1	75132093	76097247	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.41099e-05	0.000658978	FALSE	0.0111703	64	1	75132093	76097247	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000140497	0.000234565	FALSE	0.000460432	65	1	76097248	76977915	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000119007	0.000932384	FALSE	0.00215096	65	1	76097248	76977915	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	7.7513e-05	0.000129411	FALSE	0.029193	66	1	76977916	77895394	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	1.88175e-05	0.00014743	FALSE	0.30617	66	1	76977916	77895394	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	4.17858e-05	6.9763e-05	FALSE	0.125458	67	1	77895395	79065286	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.80073e-05	0.000219429	FALSE	0.214286	67	1	77895395	79065286	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000119981	0.000200312	FALSE	0.00116307	68	1	79065287	80099353	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00016184	0.00126797	FALSE	3.63302e-05	68	1	79065287	80099353	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	7.23705e-05	0.000120825	FALSE	0.0122137	69	1	80099354	80781442	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.20755e-05	0.000172956	FALSE	0.222885	69	1	80099354	80781442	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	7.7041e-05	0.000128623	FALSE	0.0556453	70	1	80781443	82123368	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000105038	0.000822943	FALSE	0.016579	70	1	80781443	82123368	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	5.29135e-05	8.83412e-05	FALSE	0.114377	71	1	82123369	83461215	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.30382e-06	1.80498e-05	FALSE	0.466737	71	1	82123369	83461215	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	1.4308e-05	2.38879e-05	FALSE	0.347629	72	1	83461216	84728347	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	6.27706e-05	0.00049179	FALSE	0.0610979	72	1	83461216	84728347	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000134222	0.00022409	FALSE	0.00329848	73	1	84728348	86017267	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.73596e-05	0.000684438	FALSE	0.0341741	73	1	84728348	86017267	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	3.95045e-05	6.59543e-05	FALSE	0.116505	74	1	86017268	86761554	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.53815e-05	0.000198857	FALSE	0.213901	74	1	86017268	86761554	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	8.39e-05	0.000140074	FALSE	0.0123276	75	1	86761555	87667572	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.47439e-05	0.000193861	FALSE	0.233491	75	1	86761555	87667572	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000308501	0.000515054	FALSE	4.50706e-09	76	1	87667573	88656689	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00015414	0.00120764	FALSE	0.000968228	76	1	87667573	88656689	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000182057	0.000303951	FALSE	1.26846e-05	77	1	88656690	89753964	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	2.39125e-06	1.87348e-05	FALSE	0.46084	77	1	88656690	89753964	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000192841	0.000321955	FALSE	3.27926e-05	78	1	89753965	90941549	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00018967	0.00148601	FALSE	4.17232e-05	78	1	89753965	90941549	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	6.29861e-05	0.000105158	FALSE	0.0553255	79	1	90941550	91870059	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000121133	0.00094904	FALSE	0.00182042	79	1	90941550	91870059	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	7.70324e-05	0.000128609	FALSE	0.0308098	80	1	91870060	92904465	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	7.55611e-05	0.000592	FALSE	0.0331475	80	1	91870060	92904465	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	7.09771e-05	0.000556086	FALSE	0.027893	81	1	92904466	94168576	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	2.11888e-05	3.53755e-05	FALSE	0.288381	82	1	94168577	95122541	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000141195	0.00110622	FALSE	0.000601248	82	1	94168577	95122541	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	7.78643e-05	0.000129998	FALSE	0.0347719	83	1	95122542	96147576	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	3.13149e-05	0.000245343	FALSE	0.219639	83	1	95122542	96147576	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000234072	0.000390792	FALSE	4.20538e-07	84	1	96147577	97721186	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000130856	0.00102522	FALSE	0.00164743	84	1	96147577	97721186	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000173917	0.000290361	FALSE	0.000245092	85	1	97721187	99425000	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	9.40462e-05	0.000736826	FALSE	0.0238672	85	1	97721187	99425000	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	5.76973e-05	9.6328e-05	FALSE	0.0765905	86	1	99425001	100269207	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	3.07869e-05	5.14e-05	FALSE	0.16213	87	1	100269208	101188315	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	6.89951e-05	0.00011519	FALSE	0.0655273	88	1	101188316	102424611	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	9.71368e-06	7.6104e-05	FALSE	0.402755	88	1	101188316	102424611	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	5.71451e-05	9.54061e-05	FALSE	0.0377136	89	1	102424612	103148412	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	4.14444e-06	6.91931e-06	FALSE	0.414316	90	1	103148413	103784541	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000129759	0.000216638	FALSE	0.000501049	91	1	103784542	104984435	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	4.44204e-06	7.41617e-06	FALSE	0.439196	92	1	104984436	106089656	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	3.98967e-05	0.00031258	FALSE	0.144871	92	1	104984436	106089656	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	2.73057e-05	4.5588e-05	FALSE	0.222386	93	1	106089657	106864947	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000123484	0.000206161	FALSE	0.00145079	94	1	106864948	107874653	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000191817	0.00150283	FALSE	5.42976e-06	94	1	106864948	107874653	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000227369	0.000379601	FALSE	3.16465e-06	95	1	107874654	109271449	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000187402	0.00146825	FALSE	7.16491e-05	95	1	107874654	109271449	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000142484	0.000237884	FALSE	0.000753443	96	1	109271450	110224230	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000203086	0.00159113	FALSE	6.72419e-06	96	1	109271450	110224230	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000194441	0.000324627	FALSE	6.85089e-05	97	1	110224231	111134062	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.000188458	0.00147652	FALSE	0.000104193	97	1	110224231	111134062	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000118938	0.000198572	FALSE	0.00840757	98	1	111134063	112489248	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	0.00011585	0.000907654	FALSE	0.00980668	98	1	111134063	112489248	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	8.4188e-05	0.000140555	FALSE	0.028431	99	1	112489249	113418037	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	8.0893e-05	0.000633774	FALSE	0.0332239	99	1	112489249	113418037	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	3.86047e-05	6.44521e-05	FALSE	0.177085	100	1	113418038	114664387	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	1.46442e-05	0.000114734	FALSE	0.353008	100	1	113418038	114664387	HowardMDD__FinnGenIBD	5.01002004008016e-06
MDD_Howard2019	0.000255892	0.000427222	FALSE	6.00169e-07	101	1	114664388	116207297	HowardMDD__FinnGenIBD	5.01002004008016e-06
IBD_FinnGen_R12	5.19828e-05	0.000407271	FALSE	0.132277	101	1	114664388	116207297	HowardMDD__FinnGenIBD	5.01002004008016e-06
