locus	chr	start	stop	pair1_rho	pair1_rho_lower	pair1_rho_upper	pair1_p	pair1_q	pair2_rho	pair2_rho_lower	pair2_rho_upper	pair2_p	pair2_q	replication_status
954	6	29529756	29833843	-0.156412	-0.43566	0.12157	0.265077	0.543652	NA	NA	NA	NA	NA	eligible_in_one_pair_only
956	6	30070718	30715006	-0.293851	-0.64109	0.04467	0.0806341	0.3020479	NA	NA	NA	NA	NA	eligible_in_one_pair_only
957	6	30715007	31106493	0.196119	-0.03899	0.43598	0.105306	0.35102	NA	NA	NA	NA	NA	eligible_in_one_pair_only
960	6	31320269	31427209	0.118767	-0.13994	0.37759	0.356404	0.632329677419	NA	NA	NA	NA	NA	eligible_in_one_pair_only
961	6	31427210	32208901	0.216483	-0.02385	0.46746	0.0823767	0.3020479	NA	NA	NA	NA	NA	eligible_in_one_pair_only
966	6	32629240	32682213	0.107452	-0.2155	0.44359	0.509242	0.748592533333	NA	NA	NA	NA	NA	eligible_in_one_pair_only
967	6	32682214	32897998	NA	NA	NA	NA	NA	0.0848239	-0.17256	0.33488	0.506337	0.748592533333	eligible_in_one_pair_only
968	6	32897999	33194975	NA	NA	NA	NA	NA	0.0458095	-0.19814	0.29642	0.71158	0.889475	eligible_in_one_pair_only
969	6	33194976	33864262	NA	NA	NA	NA	NA	-0.00835096	-0.31679	0.29624	0.955343	0.973034537037	eligible_in_one_pair_only
1000	6	67559695	68547494	NA	NA	NA	NA	NA	-0.0196149	-0.43211	0.38143	0.919174	0.968389150943	eligible_in_one_pair_only
1037	6	106053916	107309327	-0.376281	-0.65868	-0.12354	0.00480044	0.069655	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1097	7	2473750	3100211	NA	NA	NA	NA	NA	0.0763018	-0.2133	0.3774	0.604105	0.841158860759	eligible_in_one_pair_only
1099	7	4139432	4938442	NA	NA	NA	NA	NA	-0.216244	-0.56818	0.10123	0.187816	0.449125217391	eligible_in_one_pair_only
1119	7	20122180	21390644	NA	NA	NA	NA	NA	-0.130004	-0.40993	0.14442	0.343353	0.632329677419	eligible_in_one_pair_only
1133	7	35354136	36507690	NA	NA	NA	NA	NA	0.600592	0.24922	1	0.00169117	0.046507175	eligible_in_one_pair_only
1134	7	36507691	37981936	NA	NA	NA	NA	NA	-0.182677	-0.52085	0.13832	0.260914	0.543652	eligible_in_one_pair_only
1138	7	41415926	42494806	NA	NA	NA	NA	NA	0.204155	-0.15032	0.58998	0.255951	0.543652	eligible_in_one_pair_only
1166	7	73128831	75243899	0.106761	-0.20707	0.43116	0.492126	0.748592533333	-0.287951	-0.4964	-0.08535	0.00641827	0.069655	not_replicated_at_q05
1221	7	147352172	148622913	-0.0232255	-0.4003	0.3581	0.898435	0.968389150943	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1273	8	27406512	28344176	NA	NA	NA	NA	NA	-0.118548	-0.50063	0.25397	0.510404	0.748592533333	eligible_in_one_pair_only
1365	8	140355989	141527881	NA	NA	NA	NA	NA	0.266651	-0.10554	0.68735	0.153783	0.412588536585	eligible_in_one_pair_only
1381	9	8262304	9170120	NA	NA	NA	NA	NA	0.0467546	-0.30583	0.41231	0.785656	0.919384680851	eligible_in_one_pair_only
1413	9	36749274	37687112	0.0698242	-0.24372	0.38834	0.651272	0.863131566265	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1427	9	81161598	82601465	NA	NA	NA	NA	NA	-0.222463	-0.6198	0.14297	0.222186	0.508255	eligible_in_one_pair_only
1498	10	10969482	11856924	-0.470344	-0.85109	-0.15536	0.00518467	0.069655	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1580	10	102509299	104206837	0.30914	0.02296	0.63511	0.0396098	0.167579923077	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1592	10	118416050	119528730	-0.0289579	-0.34921	0.2948	0.854059	0.961961111111	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1657	11	45019560	46316005	NA	NA	NA	NA	NA	-0.143485	-0.43188	0.13316	0.315108	0.608103157895	eligible_in_one_pair_only
1673	11	62800369	64594822	0.489682	0.14602	0.92371	0.00694624	0.069655	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1674	11	64594823	66782661	-0.153208	-0.52274	0.19694	0.377002	0.638003384615	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1703	11	96150135	97091671	NA	NA	NA	NA	NA	0.412964	0.1082	0.76203	0.0102671	0.0705863125	eligible_in_one_pair_only
1794	12	56987106	58748139	-0.151859	-0.55535	0.22828	0.421681	0.682131029412	0.159103	-0.18314	0.51953	0.355775	0.632329677419	not_replicated_at_q05
1845	12	116197676	117091843	0.0891337	-0.30781	0.49545	0.636865	0.86152402439	NA	NA	NA	NA	NA	eligible_in_one_pair_only
1855	12	127545378	128372588	NA	NA	NA	NA	NA	0.714032	0.38545	1	5.32433e-05	0.005856763	eligible_in_one_pair_only
1872	13	27392006	28587125	NA	NA	NA	NA	NA	0.364478	0.05929	0.72117	0.0222744	0.111372	eligible_in_one_pair_only
1876	13	32986687	34722391	NA	NA	NA	NA	NA	0.368971	0.00751	0.80038	0.0475786	0.193838740741	eligible_in_one_pair_only
1895	13	53336572	54684856	NA	NA	NA	NA	NA	0.0553555	-0.28943	0.41077	0.742076	0.895529130435	eligible_in_one_pair_only
1965	14	32382246	33591113	-0.190205	-0.56754	0.15411	0.271826	0.543652	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2030	14	104439107	105091340	NA	NA	NA	NA	NA	0.242535	-0.08881	0.59998	0.148572	0.408573	eligible_in_one_pair_only
2031	14	105091341	106347143	NA	NA	NA	NA	NA	-0.167451	-0.49524	0.15426	0.291277	0.57215125	eligible_in_one_pair_only
2070	15	66355635	67396520	-0.131614	-0.48819	0.20732	0.434229	0.692249130435	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2089	15	89385188	90632718	-0.618136	-1	-0.26735	0.000874567	0.0389429333333	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2096	15	96864279	98025684	0.222548	-0.06775	0.5319	0.126644	0.374743947368	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2117	16	12793150	13893407	NA	NA	NA	NA	NA	0.000100094	-0.34672	0.34115	0.999517	0.999517	eligible_in_one_pair_only
2123	16	22667049	24014705	NA	NA	NA	NA	NA	0.169883	-0.10218	0.45551	0.203915	0.47724787234	eligible_in_one_pair_only
2128	16	29043178	31384210	NA	NA	NA	NA	NA	-0.0458074	-0.39071	0.2998	0.782092	0.919384680851	eligible_in_one_pair_only
2132	16	49010762	50467033	NA	NA	NA	NA	NA	0.283144	0.04443	0.53028	0.0191747	0.109840761905	eligible_in_one_pair_only
2133	16	50467034	52041336	NA	NA	NA	NA	NA	-0.0351762	-0.21018	0.1386	0.687146	0.878907674419	eligible_in_one_pair_only
2134	16	52041337	53393882	NA	NA	NA	NA	NA	0.278927	-0.07539	0.66967	0.121005	0.374743947368	eligible_in_one_pair_only
2199	17	32356062	33614189	NA	NA	NA	NA	NA	-0.0435725	-0.31764	0.22705	0.748294	0.895529130435	eligible_in_one_pair_only
2203	17	37361179	38880481	-0.392963	-0.72748	-0.10589	0.00956213	0.0705863125	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2216	17	54950108	56245227	NA	NA	NA	NA	NA	-0.0567315	-0.3586	0.25029	0.704206	0.889475	eligible_in_one_pair_only
2227	17	70495120	71466953	NA	NA	NA	NA	NA	-0.126748	-0.43506	0.17362	0.39545	0.659083333333	eligible_in_one_pair_only
2277	18	48228380	49790996	NA	NA	NA	NA	NA	0.0885623	-0.20273	0.39169	0.547994	0.793149210526	eligible_in_one_pair_only
2278	18	49790997	50372823	NA	NA	NA	NA	NA	-0.153416	-0.49843	0.17248	0.349998	0.632329677419	eligible_in_one_pair_only
2303	18	75240761	76231685	NA	NA	NA	NA	NA	0.414924	0.12351	0.74538	0.0063148	0.069655	eligible_in_one_pair_only
2320	19	13213187	13968319	0.00170748	-0.38289	0.39017	0.992637	0.999517	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2338	19	31763009	33028099	NA	NA	NA	NA	NA	0.147088	-0.1716	0.48652	0.362895	0.633626190476	eligible_in_one_pair_only
2352	19	45893308	46765060	NA	NA	NA	NA	NA	0.322275	-0.03057	0.71122	0.0715147	0.280950607143	eligible_in_one_pair_only
2353	19	46765061	47752727	NA	NA	NA	NA	NA	-0.105929	-0.40472	0.18452	0.462251	0.726394428571	eligible_in_one_pair_only
2356	19	49415190	50451925	NA	NA	NA	NA	NA	-0.261312	-0.4901	-0.03428	0.0205412	0.109840761905	eligible_in_one_pair_only
2373	20	3736552	4591847	0.368879	0.03121	0.74848	0.0337513	0.14850572	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2375	20	5379451	6128358	NA	NA	NA	NA	NA	0.38244	0.09028	0.72537	0.0154478	0.0999563529412	eligible_in_one_pair_only
2403	20	38427595	40272390	0.154208	-0.10282	0.41901	0.231025	0.508255	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2448	21	33270273	34383794	NA	NA	NA	NA	NA	-0.295916	-0.68358	0.05519	0.100505	0.35102	eligible_in_one_pair_only
2449	21	34383795	35729261	-0.503162	-0.90779	-0.16742	0.00397342	0.069655	0.354611	0.03671	0.70508	0.0295744	0.135549333333	not_replicated_at_q05
2473	22	27952442	29457601	0.268887	-0.07238	0.65171	0.129457	0.374743947368	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2484	22	40378784	41722787	-0.095078	-0.44647	0.25847	0.577057	0.824367142857	NA	NA	NA	NA	NA	eligible_in_one_pair_only
2488	22	44409534	45170649	0.00933141	-0.31777	0.33533	0.953226	0.973034537037	NA	NA	NA	NA	NA	eligible_in_one_pair_only
