phen1	phen2	rho	rho.lower	rho.upper	r2	r2.lower	r2.upper	p	locus	chr	start	stop	pair_id	q_global_primary	passes_q05
MDD_Howard2019	IBD_FinnGen_R12	-0.376281	-0.65868	-0.12354	0.141588	0.01532	0.43385	0.00480044	1037	6	106053916	107309327	HowardMDD__FinnGenIBD	0.069655	false
MDD_Howard2019	IBD_FinnGen_R12	0.106761	-0.20707	0.43116	0.0113978	0	0.18818	0.492126	1166	7	73128831	75243899	HowardMDD__FinnGenIBD	0.748592533333	false
MDD_Howard2019	IBD_FinnGen_R12	-0.0232255	-0.4003	0.3581	0.000539425	0	0.19321	0.898435	1221	7	147352172	148622913	HowardMDD__FinnGenIBD	0.968389150943	false
MDD_Howard2019	IBD_FinnGen_R12	0.0698242	-0.24372	0.38834	0.00487542	0	0.15689	0.651272	1413	9	36749274	37687112	HowardMDD__FinnGenIBD	0.863131566265	false
MDD_Howard2019	IBD_FinnGen_R12	-0.470344	-0.85109	-0.15536	0.221224	0.02414	0.72436	0.00518467	1498	10	10969482	11856924	HowardMDD__FinnGenIBD	0.069655	false
MDD_Howard2019	IBD_FinnGen_R12	0.30914	0.02296	0.63511	0.0955674	0.00152	0.40337	0.0396098	1580	10	102509299	104206837	HowardMDD__FinnGenIBD	0.167579923077	false
MDD_Howard2019	IBD_FinnGen_R12	-0.0289579	-0.34921	0.2948	0.000838559	0	0.13992	0.854059	1592	10	118416050	119528730	HowardMDD__FinnGenIBD	0.961961111111	false
MDD_Howard2019	IBD_FinnGen_R12	0.489682	0.14602	0.92371	0.239789	0.02132	0.85324	0.00694624	1673	11	62800369	64594822	HowardMDD__FinnGenIBD	0.069655	false
MDD_Howard2019	IBD_FinnGen_R12	-0.153208	-0.52274	0.19694	0.0234728	0	0.27341	0.377002	1674	11	64594823	66782661	HowardMDD__FinnGenIBD	0.638003384615	false
MDD_Howard2019	IBD_FinnGen_R12	-0.151859	-0.55535	0.22828	0.0230611	0	0.31061	0.421681	1794	12	56987106	58748139	HowardMDD__FinnGenIBD	0.682131029412	false
MDD_Howard2019	IBD_FinnGen_R12	0.0891337	-0.30781	0.49545	0.00794481	0	0.25533	0.636865	1845	12	116197676	117091843	HowardMDD__FinnGenIBD	0.86152402439	false
MDD_Howard2019	IBD_FinnGen_R12	-0.190205	-0.56754	0.15411	0.036178	0	0.32219	0.271826	1965	14	32382246	33591113	HowardMDD__FinnGenIBD	0.543652	false
MDD_Howard2019	IBD_FinnGen_R12	-0.131614	-0.48819	0.20732	0.0173223	0	0.23953	0.434229	2070	15	66355635	67396520	HowardMDD__FinnGenIBD	0.692249130435	false
MDD_Howard2019	IBD_FinnGen_R12	-0.618136	-1	-0.26735	0.382092	0.07148	1	0.000874567	2089	15	89385188	90632718	HowardMDD__FinnGenIBD	0.0389429333333	true
MDD_Howard2019	IBD_FinnGen_R12	0.222548	-0.06775	0.5319	0.0495274	0	0.28292	0.126644	2096	15	96864279	98025684	HowardMDD__FinnGenIBD	0.374743947368	false
MDD_Howard2019	IBD_FinnGen_R12	-0.392963	-0.72748	-0.10589	0.15442	0.01128	0.52923	0.00956213	2203	17	37361179	38880481	HowardMDD__FinnGenIBD	0.0705863125	false
MDD_Howard2019	IBD_FinnGen_R12	0.00170748	-0.38289	0.39017	2.9155e-06	0	0.19858	0.992637	2320	19	13213187	13968319	HowardMDD__FinnGenIBD	0.999517	false
MDD_Howard2019	IBD_FinnGen_R12	0.368879	0.03121	0.74848	0.136072	0.00271	0.56022	0.0337513	2373	20	3736552	4591847	HowardMDD__FinnGenIBD	0.14850572	false
MDD_Howard2019	IBD_FinnGen_R12	0.154208	-0.10282	0.41901	0.02378	0	0.17557	0.231025	2403	20	38427595	40272390	HowardMDD__FinnGenIBD	0.508255	false
MDD_Howard2019	IBD_FinnGen_R12	-0.503162	-0.90779	-0.16742	0.253172	0.02871	0.82408	0.00397342	2449	21	34383795	35729261	HowardMDD__FinnGenIBD	0.069655	false
MDD_Howard2019	IBD_FinnGen_R12	0.268887	-0.07238	0.65171	0.0723001	0	0.42472	0.129457	2473	22	27952442	29457601	HowardMDD__FinnGenIBD	0.374743947368	false
MDD_Howard2019	IBD_FinnGen_R12	-0.095078	-0.44647	0.25847	0.00903983	0	0.20553	0.577057	2484	22	40378784	41722787	HowardMDD__FinnGenIBD	0.824367142857	false
MDD_Howard2019	IBD_FinnGen_R12	0.00933141	-0.31777	0.33533	8.70752e-05	0	0.13891	0.953226	2488	22	44409534	45170649	HowardMDD__FinnGenIBD	0.973034537037	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0735532	-0.40076	0.25026	0.00541007	0	0.16842	0.642227	7	1	4773404	5362404	FinnGenDEP__deLangeIBD	0.86152402439	false
DEP_FinnGen_R12	IBD_deLange2017	0.400544	0.06924	0.78875	0.160436	0.00569	0.62213	0.0209696	33	1	34371023	35201626	FinnGenDEP__deLangeIBD	0.109840761905	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0428082	-0.25722	0.16237	0.00183255	0	0.06882	0.681244	57	1	66778016	67761890	FinnGenDEP__deLangeIBD	0.878907674419	false
DEP_FinnGen_R12	IBD_deLange2017	-0.274841	-0.69257	0.07609	0.0755376	0	0.47965	0.13932	176	1	226534712	228045554	FinnGenDEP__deLangeIBD	0.392953846154	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0402721	-0.38917	0.29707	0.00162184	0	0.16276	0.807713	184	1	234365797	235097113	FinnGenDEP__deLangeIBD	0.935246631579	false
DEP_FinnGen_R12	IBD_deLange2017	0.259135	-0.11174	0.66437	0.0671508	0	0.44139	0.157819	205	2	2680064	3314202	FinnGenDEP__deLangeIBD	0.41333547619	false
DEP_FinnGen_R12	IBD_deLange2017	-0.172903	-0.50296	0.14006	0.0298956	0	0.25307	0.267659	230	2	26894103	28819510	FinnGenDEP__deLangeIBD	0.543652	false
DEP_FinnGen_R12	IBD_deLange2017	-0.474241	-0.88231	-0.13754	0.224904	0.01897	0.77848	0.0069655	313	2	121073753	122026817	FinnGenDEP__deLangeIBD	0.069655	false
DEP_FinnGen_R12	IBD_deLange2017	-0.484563	-0.90734	-0.1348	0.234801	0.01834	0.82326	0.00864424	349	2	164702313	165917788	FinnGenDEP__deLangeIBD	0.0705863125	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0608633	-0.4081	0.28515	0.00370435	0	0.17886	0.721598	359	2	174118390	174927563	FinnGenDEP__deLangeIBD	0.891862696629	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0617352	-0.36704	0.24176	0.00381124	0	0.13797	0.679585	465	3	50387743	51953968	FinnGenDEP__deLangeIBD	0.878907674419	false
DEP_FinnGen_R12	IBD_deLange2017	-0.168614	-0.54113	0.18296	0.0284306	0	0.2938	0.323181	521	3	116498571	117241644	FinnGenDEP__deLangeIBD	0.612929482759	false
DEP_FinnGen_R12	IBD_deLange2017	0.137147	-0.20935	0.4888	0.0188094	0	0.23933	0.419441	555	3	153406719	155046423	FinnGenDEP__deLangeIBD	0.682131029412	false
DEP_FinnGen_R12	IBD_deLange2017	0.390019	0.07201	0.74665	0.152115	0.0062	0.55749	0.0179184	584	3	186602046	187939199	FinnGenDEP__deLangeIBD	0.109501333333	false
DEP_FinnGen_R12	IBD_deLange2017	0.15923	-0.19613	0.54897	0.0253543	0	0.30137	0.371671	593	3	195710291	196383152	FinnGenDEP__deLangeIBD	0.638003384615	false
DEP_FinnGen_R12	IBD_deLange2017	0.0938841	-0.29407	0.49335	0.00881422	0	0.25245	0.618042	734	4	149998529	151014322	FinnGenDEP__deLangeIBD	0.84980775	false
DEP_FinnGen_R12	IBD_deLange2017	0.0290952	-0.30759	0.36505	0.000846533	0	0.15362	0.860218	767	4	183603893	184338584	FinnGenDEP__deLangeIBD	0.961961111111	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0104166	-0.25985	0.23653	0.000108505	0	0.08158	0.933175	809	5	37925488	39438985	FinnGenDEP__deLangeIBD	0.968389150943	false
DEP_FinnGen_R12	IBD_deLange2017	0.240293	-0.06069	0.56103	0.0577408	0	0.31476	0.117055	864	5	106389389	107265911	FinnGenDEP__deLangeIBD	0.374743947368	false
DEP_FinnGen_R12	IBD_deLange2017	0.226723	-0.03803	0.5173	0.0514032	0	0.2676	0.103464	899	5	149850204	150981934	FinnGenDEP__deLangeIBD	0.35102	false
DEP_FinnGen_R12	IBD_deLange2017	0.0848239	-0.17256	0.33488	0.00719509	0	0.11425	0.506337	967	6	32682214	32897998	FinnGenDEP__deLangeIBD	0.748592533333	false
DEP_FinnGen_R12	IBD_deLange2017	0.0458095	-0.19814	0.29642	0.00209851	0	0.09199	0.71158	968	6	32897999	33194975	FinnGenDEP__deLangeIBD	0.889475	false
DEP_FinnGen_R12	IBD_deLange2017	-0.00835096	-0.31679	0.29624	6.97385e-05	0	0.12502	0.955343	969	6	33194976	33864262	FinnGenDEP__deLangeIBD	0.973034537037	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0196149	-0.43211	0.38143	0.000384743	0	0.21983	0.919174	1000	6	67559695	68547494	FinnGenDEP__deLangeIBD	0.968389150943	false
DEP_FinnGen_R12	IBD_deLange2017	0.0763018	-0.2133	0.3774	0.00582196	0	0.14524	0.604105	1097	7	2473750	3100211	FinnGenDEP__deLangeIBD	0.841158860759	false
DEP_FinnGen_R12	IBD_deLange2017	-0.216244	-0.56818	0.10123	0.0467613	0	0.32283	0.187816	1099	7	4139432	4938442	FinnGenDEP__deLangeIBD	0.449125217391	false
DEP_FinnGen_R12	IBD_deLange2017	-0.130004	-0.40993	0.14442	0.0169011	0	0.16805	0.343353	1119	7	20122180	21390644	FinnGenDEP__deLangeIBD	0.632329677419	false
DEP_FinnGen_R12	IBD_deLange2017	0.600592	0.24922	1	0.36071	0.06211	1	0.00169117	1133	7	35354136	36507690	FinnGenDEP__deLangeIBD	0.046507175	true
DEP_FinnGen_R12	IBD_deLange2017	-0.182677	-0.52085	0.13832	0.033371	0	0.27182	0.260914	1134	7	36507691	37981936	FinnGenDEP__deLangeIBD	0.543652	false
DEP_FinnGen_R12	IBD_deLange2017	0.204155	-0.15032	0.58998	0.0416793	0	0.3489	0.255951	1138	7	41415926	42494806	FinnGenDEP__deLangeIBD	0.543652	false
DEP_FinnGen_R12	IBD_deLange2017	-0.287951	-0.4964	-0.08535	0.0829159	0.00729	0.24641	0.00641827	1166	7	73128831	75243899	FinnGenDEP__deLangeIBD	0.069655	false
DEP_FinnGen_R12	IBD_deLange2017	-0.118548	-0.50063	0.25397	0.0140537	0	0.25376	0.510404	1273	8	27406512	28344176	FinnGenDEP__deLangeIBD	0.748592533333	false
DEP_FinnGen_R12	IBD_deLange2017	0.266651	-0.10554	0.68735	0.0711028	0	0.47245	0.153783	1365	8	140355989	141527881	FinnGenDEP__deLangeIBD	0.412588536585	false
DEP_FinnGen_R12	IBD_deLange2017	0.0467546	-0.30583	0.41231	0.00218599	0	0.18726	0.785656	1381	9	8262304	9170120	FinnGenDEP__deLangeIBD	0.919384680851	false
DEP_FinnGen_R12	IBD_deLange2017	-0.222463	-0.6198	0.14297	0.0494896	0	0.38415	0.222186	1427	9	81161598	82601465	FinnGenDEP__deLangeIBD	0.508255	false
DEP_FinnGen_R12	IBD_deLange2017	-0.143485	-0.43188	0.13316	0.0205878	0	0.18692	0.315108	1657	11	45019560	46316005	FinnGenDEP__deLangeIBD	0.608103157895	false
DEP_FinnGen_R12	IBD_deLange2017	0.412964	0.1082	0.76203	0.170539	0.01183	0.58069	0.0102671	1703	11	96150135	97091671	FinnGenDEP__deLangeIBD	0.0705863125	false
DEP_FinnGen_R12	IBD_deLange2017	0.159103	-0.18314	0.51953	0.0253137	0	0.27023	0.355775	1794	12	56987106	58748139	FinnGenDEP__deLangeIBD	0.632329677419	false
DEP_FinnGen_R12	IBD_deLange2017	0.714032	0.38545	1	0.509841	0.14857	1	5.32433e-05	1855	12	127545378	128372588	FinnGenDEP__deLangeIBD	0.005856763	true
DEP_FinnGen_R12	IBD_deLange2017	0.364478	0.05929	0.72117	0.132844	0.00481	0.52009	0.0222744	1872	13	27392006	28587125	FinnGenDEP__deLangeIBD	0.111372	false
DEP_FinnGen_R12	IBD_deLange2017	0.368971	0.00751	0.80038	0.136139	0.00201	0.6406	0.0475786	1876	13	32986687	34722391	FinnGenDEP__deLangeIBD	0.193838740741	false
DEP_FinnGen_R12	IBD_deLange2017	0.0553555	-0.28943	0.41077	0.00306424	0	0.18005	0.742076	1895	13	53336572	54684856	FinnGenDEP__deLangeIBD	0.895529130435	false
DEP_FinnGen_R12	IBD_deLange2017	0.242535	-0.08881	0.59998	0.0588232	0	0.35998	0.148572	2030	14	104439107	105091340	FinnGenDEP__deLangeIBD	0.408573	false
DEP_FinnGen_R12	IBD_deLange2017	-0.167451	-0.49524	0.15426	0.0280399	0	0.24549	0.291277	2031	14	105091341	106347143	FinnGenDEP__deLangeIBD	0.57215125	false
DEP_FinnGen_R12	IBD_deLange2017	0.000100094	-0.34672	0.34115	1.00189e-08	0	0.15624	0.999517	2117	16	12793150	13893407	FinnGenDEP__deLangeIBD	0.999517	false
DEP_FinnGen_R12	IBD_deLange2017	0.169883	-0.10218	0.45551	0.0288604	0	0.20749	0.203915	2123	16	22667049	24014705	FinnGenDEP__deLangeIBD	0.47724787234	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0458074	-0.39071	0.2998	0.00209832	0	0.17	0.782092	2128	16	29043178	31384210	FinnGenDEP__deLangeIBD	0.919384680851	false
DEP_FinnGen_R12	IBD_deLange2017	0.283144	0.04443	0.53028	0.0801705	0.00248	0.2812	0.0191747	2132	16	49010762	50467033	FinnGenDEP__deLangeIBD	0.109840761905	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0351762	-0.21018	0.1386	0.00123737	0	0.04531	0.687146	2133	16	50467034	52041336	FinnGenDEP__deLangeIBD	0.878907674419	false
DEP_FinnGen_R12	IBD_deLange2017	0.278927	-0.07539	0.66967	0.0778	0	0.44845	0.121005	2134	16	52041337	53393882	FinnGenDEP__deLangeIBD	0.374743947368	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0435725	-0.31764	0.22705	0.00189856	0	0.10645	0.748294	2199	17	32356062	33614189	FinnGenDEP__deLangeIBD	0.895529130435	false
DEP_FinnGen_R12	IBD_deLange2017	-0.0567315	-0.3586	0.25029	0.00321846	0	0.13738	0.704206	2216	17	54950108	56245227	FinnGenDEP__deLangeIBD	0.889475	false
DEP_FinnGen_R12	IBD_deLange2017	-0.126748	-0.43506	0.17362	0.016065	0	0.18958	0.39545	2227	17	70495120	71466953	FinnGenDEP__deLangeIBD	0.659083333333	false
DEP_FinnGen_R12	IBD_deLange2017	0.0885623	-0.20273	0.39169	0.00784328	0	0.15624	0.547994	2277	18	48228380	49790996	FinnGenDEP__deLangeIBD	0.793149210526	false
DEP_FinnGen_R12	IBD_deLange2017	-0.153416	-0.49843	0.17248	0.0235364	0	0.24891	0.349998	2278	18	49790997	50372823	FinnGenDEP__deLangeIBD	0.632329677419	false
DEP_FinnGen_R12	IBD_deLange2017	0.414924	0.12351	0.74538	0.172162	0.0155	0.55559	0.0063148	2303	18	75240761	76231685	FinnGenDEP__deLangeIBD	0.069655	false
DEP_FinnGen_R12	IBD_deLange2017	0.147088	-0.1716	0.48652	0.0216347	0	0.23772	0.362895	2338	19	31763009	33028099	FinnGenDEP__deLangeIBD	0.633626190476	false
DEP_FinnGen_R12	IBD_deLange2017	0.322275	-0.03057	0.71122	0.103861	0	0.50583	0.0715147	2352	19	45893308	46765060	FinnGenDEP__deLangeIBD	0.280950607143	false
DEP_FinnGen_R12	IBD_deLange2017	-0.105929	-0.40472	0.18452	0.011221	0	0.16387	0.462251	2353	19	46765061	47752727	FinnGenDEP__deLangeIBD	0.726394428571	false
DEP_FinnGen_R12	IBD_deLange2017	-0.261312	-0.4901	-0.03428	0.068284	0.00186	0.24019	0.0205412	2356	19	49415190	50451925	FinnGenDEP__deLangeIBD	0.109840761905	false
DEP_FinnGen_R12	IBD_deLange2017	0.38244	0.09028	0.72537	0.146261	0.00834	0.52616	0.0154478	2375	20	5379451	6128358	FinnGenDEP__deLangeIBD	0.0999563529412	false
DEP_FinnGen_R12	IBD_deLange2017	-0.295916	-0.68358	0.05519	0.0875662	0	0.46728	0.100505	2448	21	33270273	34383794	FinnGenDEP__deLangeIBD	0.35102	false
DEP_FinnGen_R12	IBD_deLange2017	0.354611	0.03671	0.70508	0.125749	0.00297	0.49714	0.0295744	2449	21	34383795	35729261	FinnGenDEP__deLangeIBD	0.135549333333	false
